machine_id;tool_wear_min;machine_failure;risk_rank;risk_tier
5402;253;1;1;1
5401;251;1;2;1
5400;246;1;3;1
2865;246;1;4;1
9672;246;0;5;1
9671;244;0;6;1
2864;244;0;7;1
5399;244;0;8;1
2863;242;0;9;1
9670;242;0;10;1
5398;241;0;11;1
2862;240;0;12;1
593;240;0;13;1
9669;240;0;14;1
5397;239;0;15;1
762;238;0;16;1
9668;238;1;17;1
5396;237;0;18;1
761;236;0;19;1
592;235;0;20;1
2861;235;0;21;1
4035;235;1;22;1
9667;235;0;23;1
5395;234;1;24;1
6000;234;1;25;1
4647;234;1;26;1
4386;233;1;27;1
4034;233;0;28;1
2860;233;0;29;1
591;233;0;30;1
760;233;0;31;1
9666;233;0;32;1
4646;232;0;33;1
5394;232;0;34;1
7688;232;1;35;1
5999;231;0;36;1
4385;231;0;37;1
759;231;0;38;1
590;231;0;39;1
2859;231;1;40;1
4033;231;1;41;1
9665;231;1;42;1
1337;230;0;43;1
4645;230;0;44;1
5393;230;0;45;1
4384;229;1;46;1
7687;229;0;47;1
1174;229;0;48;1
589;229;0;49;1
758;229;0;50;1
4032;229;0;51;1
9664;229;1;52;1
3866;228;1;53;1
2858;228;0;54;1
2503;228;1;55;1
1336;228;1;56;1
4644;228;1;57;1
5392;228;0;58;1
5998;228;0;59;1
4736;227;0;60;1
4383;227;0;61;1
7686;227;0;62;1
6173;227;1;63;1
1173;227;0;64;1
757;227;0;65;1
4031;227;0;66;1
1335;226;1;67;1
8029;226;0;68;1
4643;226;1;69;1
4903;226;0;70;1
9663;226;0;71;1
9497;226;0;72;1
8200;225;1;73;1
4735;225;0;74;1
4382;225;0;75;1
5997;225;0;76;1
6172;225;0;77;1
1683;225;1;78;1
3865;225;0;79;1
2502;225;0;80;1
2167;225;1;81;1
2335;224;0;82;1
588;224;0;83;1
6678;224;0;84;1
8028;224;0;85;1
7685;224;0;86;1
7940;223;0;87;1
5996;223;0;88;1
5827;223;0;89;1
5391;223;0;90;1
4381;223;0;91;1
4734;223;0;92;1
4902;223;0;93;1
1334;223;0;94;1
1253;223;0;95;1
2501;223;0;96;1
2166;223;0;97;1
2857;223;0;98;1
3864;223;0;99;1
4030;222;0;100;1
3451;222;0;101;1
2334;222;0;102;1
1172;222;0;103;1
1682;222;0;104;1
587;222;1;105;1
756;222;0;106;1
8027;222;1;107;1
7684;222;0;108;1
7850;222;1;109;1
6677;222;0;110;1
8199;222;0;111;1
8610;222;1;112;1
8284;221;0;113;1
9496;221;0;114;1
9662;221;0;115;1
7939;221;0;116;1
7256;221;0;117;1
4901;221;0;118;1
4733;221;0;119;1
4642;221;0;120;1
5390;221;0;121;1
5826;221;0;122;1
5995;221;0;123;1
503;221;0;124;1
1333;221;0;125;1
2165;221;0;126;1
2856;221;0;127;1
3027;221;0;128;1
2672;221;1;129;1
3193;221;0;130;1
3450;220;0;131;1
4029;220;0;132;1
2333;220;1;133;1
2500;220;0;134;1
1510;220;1;135;1
1252;220;0;136;1
586;220;0;137;1
4380;220;0;138;1
6676;220;0;139;1
6171;220;0;140;1
8609;220;1;141;1
8198;219;0;142;1
9495;219;0;143;1
7255;219;0;144;1
7938;219;0;145;1
8026;219;0;146;1
7683;219;0;147;1
4641;219;0;148;1
4732;219;1;149;1
